event_datetime,city,temperature,light,airquality_raw,sound,humidity,dust
2015-03-01T19:00:00.000Z,San Francisco,20.00493184,3248.814268,18.87173221,1562.661457,25.82093231,895.0030702
2015-03-01T20:00:00.000Z,San Francisco,21.68310687,4619.494596,19.60891117,1624.40691,24.52914854,968.940432
2015-03-01T21:00:00.000Z,San Francisco,23.39995165,4358.899597,20.57809601,1633.107697,23.14465269,906.5984912
2015-03-01T22:00:00.000Z,San Francisco,22.92480572,3438.277854,20.57122204,1651.321568,25.49374026,897.9272349
2015-03-01T23:00:00.000Z,San Francisco,21.40519379,2884.379484,22.1156501,1651.739922,34.10716057,928.5871381
2015-03-02T00:00:00.000Z,San Francisco,19.76265746,2049.194794,23.19625427,1606.794035,43.28800823,953.5251879
2015-03-02T01:00:00.000Z,San Francisco,17.68867913,462.4258232,22.49139376,1618.275912,48.92052826,906.6770715
2015-03-02T02:00:00.000Z,San Francisco,16.74387462,11.77303877,21.44147539,1569.161183,48.85278096,914.6123719
2015-03-02T03:00:00.000Z,San Francisco,16.58034953,1.238027715,21.90223113,1528.568264,50.98818624,961.9244865
2015-03-02T04:00:00.000Z,San Francisco,16.37067611,1.362101192,22.76019794,1521.218877,54.81835819,941.839939
2015-03-02T05:00:00.000Z,San Francisco,16.4366313,0.1750745,23.16998314,1511.504639,53.12932351,929.4221846
2015-03-02T06:00:00.000Z,San Francisco,15.96696705,0.227130774,23.11174781,1515.728901,55.6007574,931.0241533
2015-03-02T07:00:00.000Z,San Francisco,15.87139821,0.01758195,22.95051169,1516.300404,57.53546018,938.6492224
2015-03-02T08:00:00.000Z,San Francisco,15.79500532,0.053539585,22.81355727,1509.648857,57.99735575,906.1616717
2015-03-02T09:00:00.000Z,San Francisco,15.66533738,0.060791826,22.49886874,1528.648249,58.56368347,935.7842422
2015-03-02T10:00:00.000Z,San Francisco,15.60647595,0.012962963,21.82296672,1503.805862,56.03332596,1326.958204
2015-03-02T11:00:00.000Z,San Francisco,15.63978332,0.004511763,22.33058476,1512.692203,57.28494408,1105.808608
2015-03-02T12:00:00.000Z,San Francisco,15.4693164,0.06295232,22.28945865,1531.262153,58.26608861,1023.24447
2015-03-02T13:00:00.000Z,San Francisco,15.58212446,0.004320988,22.89698359,1521.20929,57.1274347,1017.678988
2015-03-02T14:00:00.000Z,San Francisco,15.57590039,31.23671596,23.26104848,1554.587527,56.27332658,1049.324642
2015-03-02T15:00:00.000Z,San Francisco,15.82178832,540.1693781,23.61890291,1592.850339,54.50482216,1062.482601
2015-03-02T16:00:00.000Z,San Francisco,16.52870073,1232.073172,23.13432347,1572.322454,49.83493424,1055.410648
2015-03-02T17:00:00.000Z,San Francisco,17.0558706,2112.971287,21.97048099,1562.978227,45.97900613,1062.709071
2015-03-02T18:00:00.000Z,San Francisco,18.50195982,3048.054189,21.16536779,1586.54523,40.96043014,1026.553402
2015-03-02T19:00:00.000Z,San Francisco,19.5975739,3312.097487,21.81268145,1613.380845,39.6525098,1011.965413
2015-03-02T20:00:00.000Z,San Francisco,20.13551576,4403.301787,21.1484712,1602.973327,36.63015628,1044.564399
2015-03-02T21:00:00.000Z,San Francisco,21.78145247,4679.888259,21.29018172,1572.270528,32.56353575,1000.754987
2015-03-02T22:00:00.000Z,San Francisco,21.74273718,3653.664843,21.73320535,1572.048265,33.86399494,950.4872854
2015-03-02T23:00:00.000Z,San Francisco,22.10280617,3207.927803,21.96832736,1582.05553,33.73459286,1003.529336
2015-03-03T00:00:00.000Z,San Francisco,20.77940824,1287.106773,22.70555603,1576.746862,36.42134617,935.458243
2015-03-03T01:00:00.000Z,San Francisco,18.93827412,540.2176716,22.64183377,1546.707399,39.93047045,962.7611357
2015-03-03T02:00:00.000Z,San Francisco,17.74402466,11.27464021,22.99992316,1563.70385,42.35808851,972.374061
2015-03-03T03:00:00.000Z,San Francisco,17.08188031,3.140186916,23.95327123,1565.022395,44.37076622,975.8142348
2015-03-03T04:00:00.000Z,San Francisco,17.40551502,2.451090343,25.41015706,1547.885188,43.29937411,980.1206612
2015-03-03T05:00:00.000Z,San Francisco,16.99351543,1.402464117,24.91867021,1529.139614,44.93027789,996.4481635
2015-03-03T06:00:00.000Z,San Francisco,16.549815,0.909270598,24.81074882,1508.015,46.24713981,990.5356886
2015-03-03T07:00:00.000Z,San Francisco,16.19261822,0.184982275,24.20120204,1544.529062,46.28623681,1013.459007
2015-03-03T08:00:00.000Z,San Francisco,15.81641083,0.163348514,23.65753843,1530.39219,47.96534889,963.2671367
2015-03-03T09:00:00.000Z,San Francisco,15.60065195,0.209195402,24.61694386,1526.656148,49.63940691,927.9183061
2015-03-03T10:00:00.000Z,San Francisco,15.25125047,0.056619838,24.12401409,1535.872148,51.96120593,941.3534056
2015-03-03T11:00:00.000Z,San Francisco,14.88258209,0.069135802,24.18336597,1523.196233,53.47677575,930.1181409
2015-03-03T12:00:00.000Z,San Francisco,14.57923907,0.0348659,24.09387824,1540.930629,54.30037064,956.8376023
2015-03-03T13:00:00.000Z,San Francisco,14.4531365,0.136891398,24.90483526,1560.254977,57.08052857,936.0638492
2015-03-03T14:00:00.000Z,San Francisco,14.29790794,59.06955464,26.2659229,1544.484862,59.33905775,957.3424608
2015-03-03T15:00:00.000Z,San Francisco,15.61162127,1324.053695,28.88086699,1545.26105,56.04617743,1196.406135
2015-03-03T16:00:00.000Z,San Francisco,17.45251266,2442.935923,28.81933182,1651.723596,51.51741248,1322.832116
